#{"t_start": 1773330091.7304614, "env_id": "None"}
r,l,t
516.688172,138,17.00709
519.191189,139,17.771714
524.007319,141,18.548129
820.083307,239,19.822839
795.882149,229,20.973764
524.650211,142,21.729032
785.986936,230,22.934571
583.88037,168,23.812449
777.414646,228,25.047288
522.108873,141,25.820611
632.256619,193,26.934921
778.679289,227,34.481893
780.081794,227,35.720141
507.303899,133,36.451797
770.465216,222,37.608919
785.673356,229,38.841892
776.980677,221,40.019027
517.600299,138,40.793095
588.055924,171,41.759704
549.035497,154,42.611614
516.219257,138,43.383937
523.394874,141,44.103326
524.44699,141,51.12422
505.090771,136,51.830043
789.665677,228,53.058057
516.618516,137,53.810539
780.557793,234,55.044608
510.93543,135,55.768887
569.277001,162,56.643235
765.224722,222,57.869766
779.861071,226,59.146741
500.873043,132,59.875876
512.948157,137,60.633346
511.185797,137,61.386164
848.798683,266,69.084586
523.769442,142,69.861869
808.631133,244,71.135374
812.303467,242,72.436979
780.55126,231,73.661407
791.217888,229,74.901958
782.456507,230,76.107629
776.348222,230,77.341421
820.308341,251,78.68684
792.536223,231,86.142649
535.405167,146,86.933187
525.515221,141,87.726667
775.163387,227,89.022574
853.056399,266,90.441285
540.855663,148,91.231321
504.657958,133,92.021774
818.840658,240,93.232965
519.774302,139,94.012985
778.899898,230,95.273322
508.529182,135,96.025078
788.763257,230,103.592129
513.360291,137,104.353161
842.493832,268,105.732995
501.465418,131,106.442709
507.186785,136,107.191087
558.067089,157,108.020665
504.178685,133,108.697548
522.00716,141,109.467675
775.436842,227,110.712801
773.069834,226,111.987052
507.139,137,112.73489
519.471462,139,113.51942
534.299644,146,120.530159
512.842694,138,121.293548
507.573829,134,122.01167
522.639274,140,122.781348
505.841777,134,123.449096
516.422781,139,124.262368
541.999578,148,125.04509
527.859588,144,125.806928
562.117043,161,126.656408
772.941002,227,127.964618
778.694924,227,129.202635
778.29222,225,130.405583
534.2408,148,131.202714
774.202257,227,138.912577
506.375664,135,139.635917
513.195637,137,140.382811
495.837269,129,141.095824
876.205266,272,142.595398
515.774606,139,143.390259
768.424322,228,144.651593
514.94718,138,145.408951
501.751152,133,146.155162
504.84487,134,146.890767
799.985493,234,148.155648
770.965742,228,155.671116
528.681855,143,156.464391
778.517263,226,157.671485
533.838872,146,158.482974
502.29705,133,159.389683
842.757932,256,160.838149
846.75991,262,162.362764
520.798463,139,163.138951
654.722058,207,164.30504
848.442923,261,165.74311
805.793338,237,173.446408
525.835098,143,174.196921
774.439053,227,175.424184
536.020355,146,176.212591
789.607403,231,177.502624
793.095046,231,178.712036
786.096587,233,179.956085
539.565278,147,180.721748
539.647052,148,181.480947
529.757034,145,182.293455
507.832792,134,183.038064
851.248653,252,184.42273
546.595643,153,191.645074
525.762241,140,192.391786
784.370217,233,193.613844
569.769795,164,194.477042
770.597015,227,195.672732
773.232918,225,196.864851
619.162419,188,197.888366
520.559458,140,198.669487
512.150917,136,199.428598
790.495838,235,200.65958
498.42289,132,201.377728
513.79432,136,208.344131
774.054956,223,209.480297
798.416941,233,210.707395
774.86946,225,211.877238
780.187128,224,213.063793
511.240526,134,213.844589
772.979041,224,215.066681
775.525667,225,216.318814
539.19166,150,217.055771
537.092627,147,217.849017
777.798438,227,225.340514
528.308856,143,226.0816
785.787176,233,227.308435
506.113297,135,228.01944
847.614731,262,229.497822
778.88171,226,230.748114
765.524993,225,231.861677
811.69871,238,233.176284
782.689453,226,234.430575
766.083799,228,235.681852
508.419774,136,242.79772
786.013016,227,244.047154
865.468264,249,245.436314
787.506401,232,246.574204
775.437803,225,247.713552
824.656913,242,248.938323
534.8669,147,249.659059
514.018871,138,250.424798
783.504404,228,251.573659
824.957973,243,252.91404
522.802745,141,260.016564
801.77633,232,261.218368
858.954263,262,262.619999
497.38451,132,263.294631
779.825585,229,264.492795
792.31367,229,265.689549
790.839834,230,266.908244
780.751551,229,268.150804
859.360021,258,269.531559
858.709371,259,277.344566
779.745545,228,278.53616
543.534318,149,279.320446
635.489197,197,280.390673
844.828505,260,281.732307
543.876755,150,282.544362
798.047125,234,283.895065
779.803494,223,285.041427
784.077277,232,286.228054
545.171697,149,287.062874
500.193627,132,287.762407
776.06721,228,295.194023
814.461569,238,296.419861
779.630807,228,297.616858
563.919755,159,298.529795
786.114732,228,299.763012
767.263929,220,300.90355
822.932377,242,302.119741
563.553052,158,302.991536
854.042026,256,304.333231
574.767078,164,311.563156
829.638843,241,312.886042
853.567122,263,314.310338
571.969203,162,315.201138
829.516101,246,316.520247
778.284976,225,317.701229
782.386222,230,318.958144
786.333928,229,320.189954
873.1764,253,321.533221
812.720361,235,329.176688
857.950294,257,330.523396
870.083847,261,331.881166
849.859244,264,333.196327
796.329961,230,334.384493
778.080638,224,335.552882
788.485205,232,336.735031
854.065539,256,338.083826
782.869096,228,339.297695
785.310541,223,347.332702
793.398429,228,348.5746
803.44841,235,349.830595
802.394437,232,351.047183
823.011084,238,352.341829
858.156693,257,353.795112
553.347921,153,354.577573
852.131863,251,355.945225
777.880393,220,357.053769
792.458063,234,364.862752
801.033197,236,366.199737
783.246896,226,367.366027
779.550671,223,368.589423
863.309858,264,370.006768
865.301722,264,371.41057
865.128699,257,372.771602
849.643247,259,374.118927
794.520418,226,381.537979
786.057712,230,382.775185
861.699245,255,384.17751
865.320463,256,385.502173
777.757514,226,386.711766
863.373073,263,388.004582
825.557824,243,389.254583
779.709398,221,390.436262
786.15221,227,391.60274
